Property Prices,Longitude,Latitude,Size,Floor,Highest floor,Units,Parking,Heating,Year,Dist. Green,Dist. Water,Green Index,Dist. Subway,Bus Stop,Dist. CBD,Top Univ.,High School,hex_id
9.798127036878304,129.108144,35.215019,45.07,8,13.0,84.0,0.67,0,2017,4.668049756878323,7.09201516456916,10.86781157544375,5.655020590245293,5,19909.8990394,0,2,8730c1608ffffff
9.961756460660103,129.022747,35.156333,51.5825,9,11.0,8.0,1.0,0,2018,5.056377436359727,7.047563240707085,11.90649847448222,6.289145344522368,6,19863.579251,0,2,8730c16adffffff
9.903487552536127,129.094945,35.138296,61.5,2,4.0,9.0,1.0,0,2015,8.030956836887869,8.190857929344025,10.54853342270707,6.648095689962701,13,19872.1559223,0,2,8730c16f1ffffff
9.740968623038354,128.958967,35.107674,70.39,8,10.0,18.0,1.0,0,2012,8.030956836887869,8.190857929344025,9.683403060281044,6.939002766574204,13,19872.1559223,0,2,8730c1684ffffff
9.769956159911604,128.983673,35.138944,59.82,28,29.0,416.0,0.62,0,1997,8.030956836887869,8.190857929344025,6.900350175665665,7.837869230508867,13,19872.1559223,0,2,8730c16a1ffffff
10.83958091170646,129.014099,35.23415,100.98,23,24.0,800.0,1.4,0,2015,8.030956836887869,8.190857929344025,10.25115569526625,5.45104763435836,13,19872.1559223,0,2,8730c1604ffffff
10.7579028806922,129.126631,35.155537,84.727,21,26.0,396.0,1.2,0,2016,8.11000641637173,8.185938435741399,7.835088063979281,7.448245831361293,16,19424.7653023,0,2,8730c16e2ffffff
10.16199824768763,128.986266,35.08098,72.9641,13,29.0,1068.0,0.99,0,2016,8.211568866221272,7.615714458012384,11.400286612426,7.076539350822644,10,17468.1530867,1,3,8730c1683ffffff
9.90618391408387,128.98449,35.082798,59.9458,7,29.0,946.0,1.1,0,2017,8.205279835701079,7.709093043317156,12.35357918823962,6.856424480668204,10,17640.2735364,1,3,8730c1683ffffff
10.03889218954233,129.016441,35.111658,61.96,8,12.0,36.0,1.0,0,2015,8.158304477599023,7.153961679344275,11.67293246116861,5.442621546746483,0,16924.9637589,1,3,8730c16aaffffff
11.30835829922896,129.109693,35.132681,151.2798,16,39.0,1149.0,2.13,0,2008,8.158304477599023,7.153961679344275,11.87414478550292,7.196975677335195,0,16924.9637589,1,3,8730c16f1ffffff
8.556413904569519,129.054514,35.15917,23.16,12,13.0,81.0,0.29,0,2003,8.114465221691727,7.393046435602629,12.76652066383133,6.513251066530893,0,17254.4661247,1,3,8730c161affffff
9.190137664658664,128.994467,35.098013,26.02,11,22.0,264.0,0.71,0,2017,8.114465221691727,7.393046435602629,10.90886187130175,5.930127216538191,0,17254.4661247,1,3,8730c1681ffffff
10.10642839653282,128.988722,35.09636500000001,58.914,10,12.0,19.0,1.0,0,2017,8.15778263262146,7.723947779492718,12.37854798446743,6.580319431217103,12,17735.8975239,1,3,8730c1680ffffff
9.711115659888671,129.04494,35.121944,57.48,11,15.0,78.0,0.53,0,2003,8.15778263262146,7.723947779492718,10.07256610576921,5.655471214593753,12,17735.8975239,1,3,8730c16abffffff
9.964112174352564,128.966677,35.105683,80.03,12,15.0,78.0,0.53,0,2004,8.15778263262146,7.723947779492718,7.769300110946731,4.516603674146551,12,17735.8975239,1,3,8730c1684ffffff
9.803667217253915,129.063616,35.154295,41.88,8,13.0,63.0,0.62,0,2014,8.164637717679721,7.397513398954967,12.46711469119818,5.755851554388169,6,17217.1232452,1,3,8730c161affffff
9.305650551780507,129.078503,35.185388,34.79,9,12.0,63.0,0.4,0,2012,8.164637717679721,7.397513398954967,12.96269415680469,6.541922463578112,6,17217.1232452,1,3,8730c1619ffffff
9.87302834505142,129.02407,35.08669699999999,121.5,9,20.0,96.0,1.71,0,1999,7.987877049876149,8.191079846292759,9.422181259245544,7.328709903482747,8,20144.559501,0,2,8730c168effffff
9.011889433252344,129.112545,35.223641,49.32,8,8.0,17.0,1.0,0,2004,7.987877049876149,8.191079846292759,13.16024292714495,7.042480284738735,8,20144.559501,0,2,8730c160dffffff
9.975808214115752,129.168271,35.17384699999999,49.94,9,25.0,928.0,0.59,1,1997,7.987877049876149,8.191079846292759,10.24493227625737,6.903653521080256,8,20144.559501,0,2,8730c16ecffffff
9.64859530290734,129.163691,35.226838,59.88,9,15.0,257.0,0.7,0,1997,7.987877049876149,8.191079846292759,10.91970807137571,7.203499334034302,8,20144.559501,0,2,8730c1655ffffff
10.09823162932864,129.106362,35.215657,65.9433,15,15.0,15.0,0.93,0,2018,7.987877049876149,8.191079846292759,11.41508529031062,5.96005747852085,8,20144.559501,0,2,8730c1608ffffff
9.994241915804592,129.067596,35.206018,49.1439,12,14.0,24.0,0.75,0,2018,8.113552891377621,8.127833561773222,8.416969073594661,4.553268060836127,4,19028.9338918,0,2,8730c160effffff
8.853665428037448,129.11416,35.165757,22.08,6,13.0,60.0,0.28,0,2012,8.113552891377621,8.127833561773222,10.74322762573962,4.590537216108565,4,19028.9338918,0,2,8730c16e0ffffff
9.035986984831403,129.085778,35.218025,17.523,11,15.0,98.0,0.15,0,2014,8.113552891377621,8.127833561773222,9.779712925295836,5.789310719833846,4,19028.9338918,0,2,8730c160cffffff
10.08576744179534,129.183404,35.165155,59.99,11,25.0,1721.0,0.61,1,1998,8.113552891377621,8.127833561773222,10.82023737980767,7.013141108714193,4,19028.9338918,0,2,8730c16e8ffffff
10.36407195986537,129.113842,35.203591,84.77,5,25.0,1374.0,1.25,0,2001,8.18643235157464,7.421754055740918,11.63046643860943,7.356987984248179,8,17222.6584432,1,3,8730c160bffffff
