"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Biřkov";48,48;51,51
"Biskoupky";45,87;54,12
"Biskupice (Chrudim, 573949)";30,55;69,44
"Biskupice (Prostějov, 589284)";35,66;64,33
"Biskupice (Svitavy, 572519)";52,52;47,47
"Biskupice (Zlín, 585076)";52,94;47,05
"Biskupice-Pulkov";52;48
"Bítouchov";57,91;42,08
"Bítov (Nový Jičín, 554936)";52,63;47,36
"Bítov (Znojmo, 593753)";59,49;40,5
"Bítovany";54,98;45,01
"Bítovčice";51,28;48,71
"Bitozeves";35,51;64,48
"Blanné";35,84;64,15
"Blansko";58,47;41,52
"Blatce";62,88;37,11
"Blatec";50,26;49,73
"Blatná";61,4;38,59
"Blatnice (Plzeň-sever, 558672)";51,57;48,42
"Blatnice pod Svatým Antonínkem";61,76;38,23
"Blatnice (Třebíč, 590321)";35,65;64,34
"Blatnička";55,11;44,88
"Blatno (Chomutov, 562998)";56,19;43,8
"Blatno (Louny, 566004)";33,33;66,66
"Blazice";53,46;46,53
"Blažejov";54,67;45,32
"Blažejovice";59,25;40,74
"Blažim (Louny, 566012)";32,7;67,29
"Blažim (Plzeň-sever, 566764)";25;75
"Blažkov";54,19;45,8
"Blažovice";70,24;29,75
"Blešno";67,8;32,19
"Blevice";49,7;50,29
"Blízkov";64,01;35,98
"Blížejov";46,29;53,7
"Blíževedly";42,4;57,59
"Blížkovice";44,91;55,08
"Blovice";56,86;43,13
"Blšany";35,48;64,51
"Blšany u Loun";48,92;51,07
"Blučina";55,63;44,36
"Bludov (Kutná Hora, 530964)";70,58;29,41
"Bludov (Šumperk, 525588)";56,04;43,95
"Bobnice";56,84;43,15
"Bobrová";58,31;41,68
"Bobrůvka";57,61;42,38
"Bocanovice";57,09;42,9
"Boháňka";56,32;43,67
"Boharyně";48,74;51,25
"Bohaté Málkovice";48,83;51,16
"Bohatice";48,57;51,42
"Bohdalec";62,56;37,43
