"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Hříšice";62,72;37,27
"Hříškov";41,73;58,26
"Hřivice";49,87;50,12
"Hřivínův Újezd";46,48;53,51
"Hubenov";64,28;35,71
"Hudčice";61,59;38,4
"Hudlice";56,74;43,25
"Hukvaldy";55,73;44,26
"Hulice";55,27;44,72
"Hulín";47,9;52,09
"Humburky";51,27;48,72
"Humpolec";55,09;44,9
"Huntířov";42,31;57,68
"Hůrky";60,56;39,43
"Hurtova Lhota";51,12;48,87
"Hůry";67,33;32,66
"Husí Lhota";62,96;37,03
"Husinec (Praha-východ, 538256)";81,87;18,12
"Husinec (Prachatice, 550230)";51;49
"Huslenky";54;45,99
"Hustopeče";57,7;42,29
"Hustopeče nad Bečvou";59,7;40,29
"Huštěnovice";52,44;47,55
"Hutisko-Solanec";57,39;42,6
"Huzová";29,71;70,28
"Hvězdlice";35,47;64,52
"Hvězdonice";71,14;28,85
"Hvězdoňovice";34,32;65,67
"Hvozd (Plzeň-sever, 558931)";46,19;53,8
"Hvozd (Prostějov, 589560)";49,47;50,52
"Hvozd (Rakovník, 565334)";40;60
"Hvozdec (Beroun, 531235)";63,21;36,78
"Hvozdec (Brno-venkov, 583090)";73,48;26,51
"Hvozdec (České Budějovice, 535613)";52,32;47,67
"Hvozdná";63,84;36,15
"Hvozdnice (Hradec Králové, 573621)";69,66;30,33
"Hvozdnice (Praha-západ, 539261)";77,33;22,66
"Hvožďany (Domažlice, 566331)";50;50
"Hvožďany (Příbram, 540315)";51,61;48,38
"Hybrálec";64,26;35,73
"Hynčice";33,67;66,32
"Hynčina";23,63;76,36
"Hýskov";73,68;26,31
"Hýsly";47,41;52,58
"Chabařovice";45,76;54,23
"Chabeřice";56,41;43,58
"Chaloupky";67,47;32,52
"Chanovice";49,14;50,85
"Charvatce";59,6;40,39
"Charváty";51,93;48,06
"Chářovice";50;50
"Chbany";29,26;70,73
"Cheb";49,62;50,37
"Chelčice";61,16;38,83
"Cheznovice";45,3;54,69
"Chlebičov";52,91;47,08
"Chleby (Benešov, 532878)";55,17;44,82
"Chleby (Nymburk, 599620)";63,52;36,47
"Chleny";62,06;37,93
"Chlistov";46,15;53,84
"Chlístov (Benešov, 532045)";73,1;26,89
"Chlístov (Rychnov nad Kněžnou, 548791)";57,4;42,59
"Chlístov (Třebíč, 590703)";56,45;43,54
"Chlístovice";50,21;49,78
"Chlum (Benešov, 529770)";28;72
"Chlum (Česká Lípa, 561614)";52,71;47,28
"Chlum (Plzeň-jih, 557773)";44,21;55,78
"Chlum (Rokycany, 540803)";73,52;26,47
"Chlum (Strakonice, 529982)";52,67;47,32
"Chlum Svaté Maří";51,36;48,63
"Chlum (Třebíč, 590711)";55,05;44,94
"Chlum u Třeboně";45,9;54,09
"Chlumany";59,8;40,19
"Chlumčany (Louny, 566233)";50;50
"Chlumčany (Plzeň-jih, 557781)";52,57;47,42
"Chlumec (Český Krumlov, 536229)";86,36;13,63
"Chlumec nad Cidlinou";56,84;43,15
"Chlumec (Ústí nad Labem, 568015)";50,48;49,51
"Chlumek";57,14;42,85
"Chlumětín";52,11;47,88
"Chlumín";53,44;46,55
"Chlum-Korouhvice";65,51;34,48
"Chlumy";32,75;67,24
"Chlustina";65,54;34,45
"Chmelík";44,73;55,26
"Chmelná";73,78;26,21
"Chobot";35,48;64,51
"Choceň";60,84;39,15
"Chocenice";45,63;54,36
"Chocerady";63,53;36,46
"Chocnějovice";67,21;32,78
"Chocomyšl";38,09;61,9
"Chodouň";64,85;35,14
"Chodouny";57,21;42,78
"Chodov (Domažlice, 553735)";46,65;53,34
"Chodov (Karlovy Vary, 578011)";16,92;83,07
"Chodov (Sokolov, 560383)";42,33;57,66
"Chodová Planá";35,78;64,21
"Chodovlice";41,57;58,42
"Chodská Lhota";60,08;39,91
"Chodský Újezd";34,02;65,97
"Cholenice";40,45;59,54
"Cholina";51,74;48,25
"Choltice";58,82;41,17
"Chomle";30,61;69,38
"Chomutice";39,6;60,39
"Chomutov";44,22;55,77
"Chomýž";44,61;55,38
"Choratice";68,18;31,81
"Chornice";46,37;53,62
"Chorušice";45,08;54,91
"Choryně";51,34;48,65
"Choťánky";61,92;38,07
"Chotěboř";55,76;44,23
"Chotěbudice";53,96;46,03
"Chotěbuz";52,85;47,14
"Choteč (Jičín, 549037)";61,15;38,84
"Choteč (Pardubice, 575062)";50,93;49,06
"Choteč (Praha-západ, 539287)";68,59;31,4
"Chotěmice";55,07;44,92
"Chotěnov";61,79;38,2
"Chotěšice";50,54;49,45
"Chotěšov (Litoměřice, 564940)";46,12;53,87
"Chotěšov (Plzeň-jih, 557838)";52,9;47,09
"Chotětov";58,5;41,49
"Chotěvice";41,49;58,5
"Chotíkov";63,44;36,55
"Chotilsko";65,07;34,92
"Chotiměř";37,42;62,57
"Chotiněves";62,72;37,27
"Choťovice";60,62;39,37
"Chotovice (Česká Lípa, 561622)";64,48;35,51
"Chotovice (Svitavy, 578118)";74,69;25,3
"Chotoviny";63,78;36,21
"Chotusice";51,31;48,68
"Chotutice";52,57;47,42
"Chotýčany";63,12;36,87
"Chotyně";49,07;50,92
"Chotýšany";58,96;41,03
"Choustník";65,71;34,28
"Choustníkovo Hradiště";59,46;40,53
"Chožov";42,29;57,7
"Chraberce";51,89;48,1
"Chrast";49,44;50,55
"Chrást (Nymburk, 537233)";63,69;36,3
"Chrást (Plzeň-město, 558966)";61,95;38,04
"Chrást (Příbram, 564249)";50,89;49,1
"Chrastava";52,62;47,37
"Chrastavec";55,97;44,02
"Chrastavice";66,95;33,04
"Chrášťany (Benešov, 532037)";60,68;39,31
"Chrášťany (České Budějovice, 544591)";47,13;52,86
"Chrášťany (Kolín, 533351)";53,35;46,64
"Chrášťany (Praha-západ, 539295)";71,48;28,51
"Chrášťany (Rakovník, 541818)";52,55;47,44
"Chraštice";68,18;31,81
"Chrášťovice";54,05;45,94
"Chrbonín";55,76;44,23
"Chroboly";50;50
"Chromeč";60,65;39,34
"Chropyně";40,89;59,1
"Chroustov";42,95;57,04
"Chroustovice";48,23;51,76
"Chrtníč";49,25;50,74
"Chrtníky";61,29;38,7
"Chrudichromy";47,74;52,25
"Chrudim";61,86;38,13
"Chrustenice";76,15;23,84
"Chržín";56,21;43,78
"Chřenovice";32,22;67,77
"Chřibská";36,76;63,23
"Chříč";55,73;44,26
"Chudčice";63,66;36,33
"Chudenice";42,82;57,17
"Chudenín";48,21;51,78
"Chuderov";58,61;41,38
"Chudeřice";61,53;38,46
"Chudíř";68,58;31,41
"Chudoslavice";50;50
"Chuchelna";67,01;32,98
"Chuchelná";43,55;56,44
"Chvalatice";38,57;61,42
"Chvalčov";51,76;48,23
"Chvaleč";57,86;42,13
"Chválenice";67,72;32,27
"Chvaletice";44,88;55,11
"Chvalíkovice";42,1;57,89
"Chvalkovice (Náchod, 574112)";53,01;46,98
"Chvalkovice (Vyškov, 593095)";39;60,99
"Chvalnov-Lísky";45,83;54,16
"Chvalovice (Prachatice, 537420)";46,8;53,19
"Chvalovice (Znojmo, 594172)";41,68;58,31
"Chvalšiny";52,72;47,27
"Chvatěruby";53;46,99
"Chvojenec";64,32;35,67
"Chyjice";51,76;48,23
"Chyňava";62,84;37,15
"Chýně";80,17;19,82
"Chýnice";80,4;19,6
"Chýnov";58,91;41,08
"Chýstovice";43,75;56,25
"Chyše";31,72;68,27
"Chyšky";57,24;42,75
"Chyšná";37,73;62,26
"Chýšť";55,24;44,75
"Ivaň (Brno-venkov, 584517)";55,23;44,76
"Ivaň (Prostějov, 589578)";42,8;57,19
"Ivančice";54,26;45,73
"Ivanovice na Hané";44,13;55,86
"Jabkenice";55,8;44,19
"Jabloňany";58,63;41,36
"Jablonec nad Jizerou";64,57;35,42
"Jablonec nad Nisou";60,73;39,26
"Jablonná";49,41;50,58
"Jablonné nad Orlicí";64,04;35,95
"Jablonné v Podještědí";49,44;50,55
"Jabloňov";59,2;40,79
"Jablůnka";59,8;40,19
"Jablunkov";55,65;44,34
"Jahodov";49,23;50,76
"Jáchymov";53,88;46,11
"Jakartovice";37,05;62,94
"Jakubčovice nad Odrou";49,42;50,57
"Jakubov u Moravských Budějovic";53,98;46,01
"Jakubovice";34,74;65,25
"Jalubí";49,55;50,44
"Jamné";61,64;38,35
"Jamné nad Orlicí";66,89;33,1
"Jamolice";48,99;51
"Jámy";61,98;38,01
"Jankov (Benešov, 529842)";56,5;43,49
"Jankov (České Budějovice, 544612)";63,24;36,75
"Jankov (Pelhřimov, 561461)";65,71;34,28
"Jankovice (Kroměříž, 588555)";52,69;47,3
"Jankovice (Pardubice, 575101)";43,08;56,91
"Jankovice (Uherské Hradiště, 592234)";42,75;57,24
"Janoušov";17,5;82,5
"Janov (Bruntál, 597431)";25,44;74,55
"Janov (Děčín, 544680)";47,34;52,65
"Janov nad Nisou";72,03;27,96
"Janov (Rakovník, 565270)";44,89;55,1
"Janov (Rychnov nad Kněžnou, 576328)";50;50
"Janov (Svitavy, 578134)";60,99;39
"Janová";59,13;40,86
"Janovice";52,85;47,14
"Janovice nad Úhlavou";51,72;48,27
"Janovice v Podještědí";38,02;61,97
"Janská";33,06;66,93
"Janské Lázně";79,6;20,39
"Janův Důl";60,6;39,39
"Janůvky";35,48;64,51
"Jarcová";56,84;43,15
"Jarohněvice";55,68;44,31
"Jaroměř";54,74;45,25
"Jaroměřice";44,18;55,81
"Jaroměřice nad Rokytnou";45,58;54,41
"Jaroslav";52,38;47,61
"Jaroslavice";42,78;57,21
"Jarošov";55,93;44,06
"Jarošov nad Nežárkou";55,84;44,15
"Jarov (Plzeň-jih, 578541)";37,58;62,41
"Jarov (Plzeň-sever, 558982)";60,75;39,24
"Jarpice";57,79;42,2
"Jasenice";51,72;48,27
"Jasenná (Náchod, 574139)";56,6;43,39
"Jasenná (Zlín, 585301)";57,29;42,7
"Javor";58,33;41,66
"Javorek";61,33;38,66
"Javornice";65,78;34,21
"Javorník (Benešov, 529851)";45,36;54,63
"Javorník (Hodonín, 586218)";46,96;53,03
"Javorník (Jeseník, 536148)";38,1;61,89
"Javorník (Svitavy, 572713)";54,26;45,73
"Javorník (Ústí nad Orlicí, 580406)";52,73;47,26
"Javůrek";54,16;45,83
"Jedlá";50;50
"Jedlany";65,21;34,78
"Jedlí";51,31;48,68
"Jedlová";53,06;46,93
"Jedomělice";57,57;42,42
"Jedousov";55,43;44,56
"Jedovnice";57,97;42,02
"Jehnědí";49,74;50,25
"Jemnice";54,08;45,91
"Jemníky";71,14;28,85
"Jenčice";57,28;42,71
"Jeneč";64,92;35,07
"Jeníkov (Chrudim, 547816)";58,24;41,75
"Jeníkov (Teplice, 567582)";46,8;53,19
"Jeníkovice (Hradec Králové, 570133)";52,9;47,09
"Jeníkovice (Pardubice, 575135)";43,05;56,94
"Jenišov";67,25;32,74
"Jenišovice (Chrudim, 571563)";58,8;41,19
"Jenišovice (Jablonec nad Nisou, 563609)";68,72;31,27
"Jenštejn";75,67;24,32
"Jersín";46,22;53,77
"Jeřice";51,35;48,64
"Jeřišno";39,88;60,11
"Jeřmanice";67,05;32,94
"Jesenec";49,7;50,29
"Jesenice (Praha-západ, 539325)";76,66;23,33
"Jesenice (Příbram, 540391)";59,2;40,79
"Jesenice (Rakovník, 541834)";44,52;55,47
"Jeseník";51,57;48,42
"Jeseník nad Odrou";46,1;53,89
"Jesenný";63,44;36,55
"Jestřabí";55,26;44,73
"Jestřabí Lhota";60,32;39,67
"Jestřabí v Krkonoších";80,65;19,34
"Jestřebí (Česká Lípa, 561665)";47,24;52,75
"Jestřebí (Náchod, 574147)";75,65;24,34
"Jestřebí (Šumperk, 536393)";53,38;46,61
"Ješetice";56,45;43,54
"Jetětice";53,89;46,1
"Jetřichov";50,89;49,1
"Jetřichovice";52,46;47,53
"Jevany";75,31;24,68
"Jevíčko";52,76;47,23
"Jeviněves";68;32
"Jevišovice";41,98;58,01
"Jevišovka";42,34;57,65
"Jezbořice";58,11;41,88
"Jezdkovice";38,21;61,78
"Jezdovice";45,52;54,47
"Jezernice";51,8;48,19
"Jezeřany-Maršovice";58,7;41,29
"Ježená";44,92;55,07
"Ježkovice";53,96;46,03
"Ježov (Hodonín, 586226)";50,35;49,64
"Ježov (Pelhřimov, 548073)";72,54;27,45
"Ježovy";45,68;54,31
"Jickovice";55;45
"Jičín";58,18;41,81
"Jičíněves";46,35;53,64
"Jihlava";61,31;38,68
"Jihlávka";40,95;59,04
"Jíkev";52,4;47,59
"Jilem (Havlíčkův Brod, 548413)";54,83;45,16
"Jilem (Jindřichův Hradec, 562769)";57,31;42,68
"Jilemnice";68,15;31,84
"Jílové";46,15;53,84
"Jílové u Držkova";48,87;51,12
"Jílové u Prahy";72,23;27,76
"Jílovice (České Budějovice, 544639)";47,42;52,57
"Jílovice (Hradec Králové, 576352)";70,21;29,78
"Jíloviště";76,53;23,46
"Jimlín";39,08;60,91
"Jimramov";63,49;36,5
"Jinačovice";75,5;24,49
"Jince";56,01;43,98
"Jindřichov (Bruntál, 597449)";31,57;68,42
"Jindřichov (Přerov, 513873)";60,33;39,66
"Jindřichov (Šumperk, 536521)";42,7;57,29
"Jindřichovice (Jihlava, 587303)";53,96;46,03
"Jindřichovice pod Smrkem";46,41;53,58
"Jindřichovice (Sokolov, 560413)";45,32;54,67
"Jindřichův Hradec";57,56;42,43
"Jinín";43,65;56,34
"Jinočany";76,98;23,01
"Jinolice";65,64;34,35
"Jinošov";50,64;49,35
"Jiratice";63,41;36,58
"Jirkov";41,83;58,16
"Jirny";74,98;25,01
"Jiřetín pod Bukovou";45,12;54,87
"Jiřetín pod Jedlovou";56,46;43,53
"Jiřice (Nymburk, 599581)";38,03;61,96
"Jiřice (Pelhřimov, 548081)";51,95;48,04
"Jiřice u Miroslavi";42,95;57,04
"Jiřice u Moravských Budějovic";58,62;41,37
"Jiříkov (Bruntál, 597457)";49,38;50,61
"Jiříkov (Děčín, 562581)";34,86;65,13
"Jiříkovice";76,27;23,72
"Jistebnice";56,69;43,3
"Jistebník";53,16;46,83
"Jitkov";61,42;38,57
"Jivina (Beroun, 531308)";42,6;57,39
"Jivina (Mladá Boleslav, 535974)";56,47;43,52
"Jívka";48;52
"Jivno";63,11;36,88
"Jívová";47,21;52,78
"Jívoví";55,2;44,79
"Jizbice";59,83;40,16
"Jizerní Vtelno";60,1;39,89
"Josefov (Hodonín, 586234)";59,29;40,7
"Josefov (Sokolov, 511587)";48,45;51,54
"Josefův Důl (Jablonec nad Nisou, 563633)";71,81;28,18
"Josefův Důl (Mladá Boleslav, 529613)";61,76;38,23
"Kacákova Lhota";40,42;59,57
"Kacanovy";71,42;28,57
"Kaceřov (Plzeň-sever, 558991)";63,54;36,45
"Kaceřov (Sokolov, 560421)";45,6;54,39
"Kácov";58,81;41,18
"Kačice";55,01;44,98
"Kačlehy";50;50
"Kadaň";46,43;53,56
"Kadlín";35,06;64,93
"Kadolec";23,07;76,92
"Kadov (Strakonice, 551180)";53,36;46,63
"Kadov (Znojmo, 594237)";29,87;70,12
"Kadov (Žďár nad Sázavou, 595829)";65,24;34,75
"Kájov";53,23;46,76
"Kakejcov";49,25;50,74
"Kalek";56,73;43,26
"Kalenice";59,32;40,67
"Kalhov";41,09;58,9
"Kaliště (Jihlava, 587338)";57;43
"Kaliště (Pelhřimov, 548090)";45,04;54,95
"Kaliště (Praha-východ, 538281)";66,84;33,15
"Kalivody";54,54;45,45
"Kaly";55,19;44,8
"Kamberk";60,37;39,62
"Kámen (Děčín, 546453)";42,56;57,43
"Kámen (Havlíčkův Brod, 568821)";50,63;49,36
"Kámen (Pelhřimov, 548103)";69,81;30,18
"Kamenec";39,53;60,46
"Kamenec u Poličky";59,75;40,24
"Kamenice (Jihlava, 587346)";58,14;41,85
"Kamenice nad Lipou";60,01;39,98
"Kamenice (Praha-východ, 538299)";73,38;26,61
"Kamenický Šenov";45,9;54,09
"Kameničky";60,36;39,63
"Kameničná";60,5;39,5
"Kamenná (České Budějovice, 535982)";43,04;56,95
"Kamenná Horka";34,71;65,28
"Kamenná (Jihlava, 587362)";45,16;54,83
"Kamenná Lhota";46,95;53,04
"Kamenná (Šumperk, 536571)";39,85;60,14
"Kamenná (Třebíč, 590801)";59,55;40,44
"Kamenné Zboží";54,2;45,79
"Kamenné Žehrovice";58,56;41,43
"Kamenný Malíkov";34,88;65,11
"Kamenný Most";44,84;55,15
"Kamenný Přívoz";62,68;37,31
"Kamenný Újezd (České Budějovice, 544663)";71,04;28,95
"Kamenný Újezd (Rokycany, 541150)";59,64;40,35
"Kamýk";56,19;43,8
"Kamýk nad Vltavou";60,33;39,66
"Kanice (Brno-venkov, 583197)";76,01;23,98
"Kanice (Domažlice, 566144)";61,2;38,79
"Kaničky";46,15;53,84
"Kanina";51,72;48,27
"Kaňovice (Frýdek-Místek, 598275)";51,36;48,63
"Kaňovice (Zlín, 585327)";48,76;51,23
"Kaplice";50,94;49,05
"Káranice";58,03;41,96
"Káraný";68,24;31,75
"Kardašova Řečice";60,66;39,33
"Karle";43,34;56,65
"Karlík";79,65;20,34
"Karlín";55,46;44,53
"Karlov";62,85;37,14
"Karlova Studánka";71,8;28,19
"Karlova Ves";44,87;55,12
"Karlovice (Bruntál, 597481)";40,63;59,36
"Karlovice (Semily, 577219)";64,44;35,55
"Karlovice (Zlín, 587052)";45,85;54,14
"Karlovy Vary";56,91;43,08
"Karlštejn";69,98;30,01
"Karolín";50,64;49,35
"Karolinka";49,51;50,48
"Karviná";30,34;69,65
"Kařez";58,08;41,91
"Kařízek";75,75;24,24
"Kasalice";49,58;50,41
"Kasejovice";52,87;47,12
"Kašava";62,58;37,41
"Kašnice";46,51;53,48
"Kašperské Hory";55,54;44,45
"Kateřinice (Nový Jičín, 568643)";52,48;47,51
"Kateřinice (Vsetín, 542946)";60,75;39,24
"Katov (Brno-venkov, 587907)";59,37;40,62
"Katov (Tábor, 530042)";52;48
"Katovice";58,55;41,44
"Katusice";57,93;42,06
"Kaznějov";52,82;47,17
"Kbel (Kolín, 513415)";66,43;33,56
"Kbel (Plzeň-jih, 557871)";42,26;57,73
"Kbelany";45,83;54,16
"Kbelnice";64,44;35,55
"Kdousov";55,22;44,77
"Kdyně";52,7;47,29
"Keblice";38,6;61,39
"Keblov";42,1;57,89
"Kejnice";60,56;39,43
"Kejžlice";46,86;53,13
"Kelč";53,92;46,07
"Kelčany";50,36;49,63
"Kelníky";64,76;35,23
"Kestřany";60;40
"Ketkovice";50,3;49,69
"Klabava";59,12;40,87
"Kladeruby";52,78;47,21
"Kladeruby nad Oslavou";35,34;64,65
"Kladky";50,51;49,48
"Kladníky";51,72;48,27
"Kladno (Chrudim, 571580)";35,44;64,55
"Kladno (Kladno, 532053)";58,86;41,13
"Kladruby (Benešov, 533084)";59,73;40,26
"Kladruby nad Labem";48,87;51,12
"Kladruby (Rokycany, 559920)";43,29;56,7
"Kladruby (Strakonice, 560405)";25;75
"Kladruby (Tachov, 560928)";48,84;51,15
"Kladruby (Teplice, 567604)";50;50
"Klamoš";50,2;49,79
"Klapý";46,54;53,45
"Klášter";60,65;39,34
"Klášter Hradiště nad Jizerou";61,96;38,03
"Klášterec nad Ohří";45,95;54,04
"Klášterec nad Orlicí";62,84;37,15
"Klášterní Skalice";51,08;48,91
"Klášterská Lhota";50,86;49,13
"Klatovec";40,81;59,18
"Klatovy";53,04;46,95
"Klec";42,73;57,26
"Klecany";77,94;22,05
"Klenčí pod Čerchovem";60,25;39,74
"Kleneč";53,48;46,51
"Klenová";59,01;40,98
"Klenovice";60,63;39,36
"Klenovice na Hané";42,52;57,47
"Klentnice";48,81;51,18
"Klešice";54,43;45,56
"Klíčany";73,68;26,31
"Klimkovice";56,64;43,35
"Klínec";79,91;20,08
"Klíny";60;40
"Klobouky u Brna";53,31;46,68
"Klobuky";46,24;53,75
"Klokočí (Přerov, 514047)";65,14;34,85
"Klokočí (Semily, 577227)";53,62;46,37
"Klokočná";68,78;31,21
"Klokočov";33,33;66,66
"Klopina";41,66;58,33
"Klopotovice";53,44;46,55
"Klučenice";63,47;36,52
"Klučov (Kolín, 533386)";62,97;37,02
"Klučov (Třebíč, 590835)";50;50
"Kluky (Kutná Hora, 534137)";45,85;54,14
"Kluky (Mladá Boleslav, 571075)";74,46;25,53
"Kluky (Písek, 549495)";53,2;46,79
"Kly";65,74;34,25
"Kmetiněves";47,79;52,2
"Kněždub";40,71;59,28
"Kněževes (Blansko, 581721)";71,81;28,18
"Kněževes (Praha-západ, 539384)";64,28;35,71
"Kněževes (Rakovník, 541877)";43,45;56,54
"Kněževes (Žďár nad Sázavou, 595853)";65,45;34,54
"Kněžice (Chrudim, 574007)";40,65;59,34
"Kněžice (Jihlava, 590843)";56,21;43,78
"Kněžice (Nymburk, 537292)";47,47;52,52
"Kněžičky";60,78;39,21
"Kněžmost";61,24;38,75
"Kněžnice";63,25;36,74
"Kněžpole";63,35;36,64
"Knínice (Blansko, 581739)";55,44;44,55
"Knínice (Jihlava, 587389)";72,72;27,27
"Kňovice";59,69;40,3
"Knovíz";59,19;40,8
"Knyk";57,97;42,02
"Koberovice";44,95;55,04
"Koberovy";65,47;34,52
"Kobeřice";48,99;51
"Kobeřice u Brna";68,35;31,64
"Kobylá nad Vidnavkou";30,15;69,84
"Kobylí";55,99;44
"Kobylice";58,33;41,66
"Kobylnice (Brno-venkov, 583219)";75,36;24,63
"Kobylnice (Kutná Hora, 531405)";60,86;39,13
"Kobylnice (Mladá Boleslav, 571172)";57,89;42,1
"Kobyly";58,29;41,7
"Kocbeře";56,9;43,09
"Kocelovice";61,76;38,23
"Koclířov";45,64;54,35
"Kočí";58,93;41,06
"Kočín";66,15;33,84
"Kočov";42,22;57,77
"Kohoutov";68,13;31,86
"Kochánky";59,61;40,38
"Kochánov";65,3;34,69
"Kojatice";40,87;59,12
"Kojatín";67,24;32,75
"Kojátky";41,47;58,52
"Kojčice";61,97;38,02
"Kojetice (Mělník, 538345)";61,32;38,67
"Kojetice (Třebíč, 590860)";51,77;48,22
"Kojetín (Havlíčkův Brod, 568881)";61,81;38,18
"Kojetín (Přerov, 514055)";40,48;59,51
"Kojice";51,79;48,2
"Kokašice";39,09;60,9
"Kokory";48,76;51,23
"Kokořín";59,64;40,35
"Kolaje";58;42
"Koldín";58,55;41,44
"Koleč";58,74;41,25
"Kolešov";31,5;68,49
"Kolešovice";42,46;57,53
"Kolín";58,89;41,1
"Kolinec";48,59;51,4
"Kolomuty";72,76;27,23
"Kolová";64,3;35,69
"Koloveč";40,21;59,78
"Kolšov";49,04;50,95
"Komárno";58,98;41,01
"Komárov (Beroun, 531324)";54,65;45,34
"Komárov (Olomouc, 547123)";45,11;54,88
"Komárov (Tábor, 599280)";55,55;44,44
"Komárov (Zlín, 549436)";60;40
"Komárovice";50;50
"Komařice";68,91;31,08
"Komňa";42,24;57,75
"Komorní Lhotka";51,16;48,83
"Komorovice";60;40
"Komořany";57,57;42,42
"Konárovice";61,82;38,17
"Kondrac";60,64;39,35
"Konecchlumí";52,23;47,76
"Koněprusy";68,78;31,21
"Koněšín";46,2;53,79
"Konětopy";59,18;40,81
"Konice";47,96;52,03
"Konojedy";62,34;37,65
"Konstantinovy Lázně";52,15;47,84
"Kopidlno";40,58;59,41
"Kopidlo";54,87;45,12
"Kopřivná";36,64;63,35
"Kopřivnice";52,28;47,71
"Korkyně";67,05;32,94
"Kornatice";63,29;36,7
"Korno";51,21;48,78
"Korolupy";39,13;60,86
"Korouhev";58,91;41,08
"Koroužné";50;50
"Korozluky";53,69;46,3
"Koruna";37,34;62,65
"Koryčany";45,49;54,5
"Koryta (Mladá Boleslav, 599557)";64,4;35,59
"Koryta (Plzeň-sever, 559032)";72,15;27,84
"Korytná";45,55;54,44
"Kořenec";58,79;41,2
"Kořenice";45,01;54,98
"Kořenov";80;20
"Kosice";39,44;60,55
"Kosičky";49,27;50,72
"Kosmonosy";64,38;35,61
"Kosoř";70,48;29,51
"Kosořice";60,29;39,7
"Kosořín";71,55;28,44
"Kosov";41,21;58,78
"Kosova Hora";60,61;39,38
"Kostelany";41,09;58,9
"Kostelany nad Moravou";55,38;44,61
"Kostelec (Hodonín, 586277)";59,33;40,66
"Kostelec (Jičín, 548928)";81,48;18,51
"Kostelec (Jihlava, 587401)";41,44;58,55
"Kostelec na Hané";53,41;46,58
"Kostelec nad Černými lesy";64,6;35,39
"Kostelec nad Labem";66,32;33,67
"Kostelec nad Orlicí";56,13;43,86
"Kostelec nad Vltavou";54,05;45,94
"Kostelec (Tachov, 503916)";37,76;62,23
"Kostelec u Heřmanova Městce";66,66;33,33
"Kostelec u Holešova";46,78;53,21
"Kostelec u Křížků";73,4;26,59
"Kostelecké Horky";65,9;34,09
"Kostelní Hlavno";66,15;33,84
"Kostelní Lhota";66,98;33,01
"Kostelní Myslová";46,34;53,65
"Kostelní Radouň";61,38;38,61
"Kostelní Vydří";62,71;37,28
"Kostěnice";63,43;36,56
"Kostice";42,15;57,84
"Kostníky";50;50
"Kostomlátky";58,28;41,71
"Kostomlaty nad Labem";60,8;39,19
"Kostomlaty pod Milešovkou";41,31;58,68
"Kostomlaty pod Řípem";44,34;55,65
"Košařiska";45,4;54,59
"Košátky";61,02;38,97
"Košetice";47,59;52,4
"Košice (Kutná Hora, 551465)";62,16;37,83
"Košice (Tábor, 552585)";62,21;37,78
"Košík";49,09;50,9
"Košíky";52,89;47,1
"Košín";61,53;38,46
"Košťálov";56,42;43,57
"Košťany";38,65;61,34
"Koštice";42,64;57,35
"Kotenčice";59,68;40,31
"Kotlasy";65,75;34,24
"Kotopeky";58,29;41,7
"Kotovice";55,76;44,23
"Kotvrdovice";59,34;40,65
"Kounice";71,38;28,61
"Kounov (Rakovník, 541907)";34,53;65,46
"Kounov (Rychnov nad Kněžnou, 576395)";68,49;31,5
"Koupě";42,85;57,14
"Kouřim";55,18;44,81
"Kout na Šumavě";52,59;47,4
"Kouty (Havlíčkův Brod, 548189)";58,18;41,81
"Kouty (Nymburk, 534943)";59,34;40,65
"Kouty (Třebíč, 590908)";63,75;36,25
"Kovač";46,06;53,93
"Kovalovice";67,66;32,33
"Koválovice-Osíčany";30,3;69,69
"Kováň";47,82;52,17
"Kovanec";56,25;43,75
"Kovanice";60,03;39,96
"Kovářov";64,3;35,69
"Kovářská";44,75;55,24
"Kovčín";40,9;59,09
"Kozárov";45,78;54,21
"Kozárovice";45,79;54,2
"Kozlany (Třebíč, 590916)";69,14;30,85
"Kozlany (Vyškov, 550108)";44,23;55,76
"Kozlov (Havlíčkův Brod, 568899)";41,79;58,2
"Kozlov (Jihlava, 587427)";65,03;34,96
"Kozlov (Olomouc, 500135)";34,45;65,54
"Kozlov (Žďár nad Sázavou, 595888)";52,52;47,47
"Kozlovice (Frýdek-Místek, 598321)";56,4;43,59
"Kozlovice (Plzeň-jih, 540200)";34,42;65,57
"Kozly (Česká Lípa, 546232)";26,13;73,86
"Kozly (Louny, 530557)";32,91;67,08
"Kozmice (Benešov, 529940)";63,63;36,36
"Kozmice (Opava, 547182)";50,09;49,9
"Kozojedy (Jičín, 572136)";43,61;56,38
"Kozojedy (Plzeň-sever, 559041)";56,04;43,95
"Kozojedy (Praha-východ, 533432)";73,85;26,14
"Kozojedy (Rakovník, 565385)";43,33;56,66
"Kozojídky";52,48;47,51
"Kozolupy";57,16;42,83
"Kozomín";65,66;34,33
"Kožichovice";48,49;51,5
"Kožlany";54,43;45,56
"Kožlí (Havlíčkův Brod, 568902)";50,93;49,06
"Kožlí (Písek, 561550)";74,19;25,8
"Kožušany-Tážaly";53,13;46,86
"Kožušice";47,14;52,85
"Krabčice";67,84;32,15
"Kraborovice";52,63;47,36
"Krahulčí";50,7;49,29
